"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
14.1666666666667, 20.6249124312372, 6.77747066096924, 39.0106762530217, 41.0648239926297, 0.137688361711131, 0.0436498943834859, 1.18573107364814
14.3333333333333, 22.7567849944566, 7.47409623309071, 39.0106762530217, 41.0648239926297, 0.19426920796735, 0.0581108617561236, 1.18573107364814
14.5, 19.6577916113665, 6.45621399496194, 39.0106762530217, 41.0648239926297, 0.145397290665637, 0.0427951618759373, 1.18573107364814
14.6666666666667, 18.4344341088575, 6.04259614765237, 39.0106762530217, 41.0648239926297, 0.195320024348464, 0.0476892913591389, 1.18573107364814
14.8333333333333, 18.1243145770648, 5.95297513278043, 39.0106762530217, 41.0648239926297, 0.13792985975294, 0.0411351790952995, 1.18573107364814
15, 21.24834308435, 6.97463354910984, 39.0106762530217, 41.0648239926297, 0.205476707625109, 0.0581586771190163, 1.18573107364814
15.1666666666667, 27.8245013726714, 9.14166184400048, 39.0106762530217, 41.0648239926297, 0.268473126694067, 0.0844467677631934, 1.18573107364814
15.3333333333333, 25.7344316587604, 8.44495152076296, 39.0106762530217, 41.0648239926297, 0.289304663757647, 0.0815355292549072, 1.18573107364814
15.5, 14.6530374169899, 4.81229756915778, 39.0106762530217, 41.0648239926297, 0.0931616250917019, 0.0266560595175547, 1.18573107364814
15.6666666666667, 23.0979016313718, 7.59222965890611, 39.0106762530217, 41.0648239926297, 0.165829517595756, 0.0548123733116744, 1.18573107364814
15.8333333333333, 29.5553042112071, 9.70939170371488, 39.0106762530217, 41.0648239926297, 0.292566425241996, 0.0910935219733042, 1.18573107364814
16, 26.1426976281504, 8.57961899252632, 39.0106762530217, 41.0648239926297, 0.275257339870446, 0.0774059175334547, 1.18573107364814
16.1666666666667, 21.9352447850986, 7.19924741676007, 39.0106762530217, 41.0648239926297, 0.219128941180729, 0.0614971616252248, 1.18573107364814
